[23:40:04.685] [INFO   ] thread main starting.
[23:40:04.725] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:40:53.066] [SEVERE ] updating countdown to 15033
[23:40:53.175] [SEVERE ] updating countdown to 14924
[23:40:53.283] [SEVERE ] updating countdown to 14816
[23:40:53.391] [SEVERE ] updating countdown to 14708
[23:40:53.500] [SEVERE ] updating countdown to 14599
[23:40:53.610] [SEVERE ] updating countdown to 14489
[23:40:53.718] [SEVERE ] updating countdown to 14381
[23:40:53.828] [SEVERE ] updating countdown to 14271
[23:40:53.938] [SEVERE ] updating countdown to 14161
[23:40:54.047] [SEVERE ] updating countdown to 14052
[23:40:54.157] [SEVERE ] updating countdown to 13942
[23:40:54.266] [SEVERE ] updating countdown to 13833
[23:40:54.376] [SEVERE ] updating countdown to 13723
[23:40:54.483] [SEVERE ] updating countdown to 13616
[23:40:54.593] [SEVERE ] updating countdown to 13506
[23:40:54.703] [SEVERE ] updating countdown to 13396
[23:40:54.812] [SEVERE ] updating countdown to 13287
[23:40:54.922] [SEVERE ] updating countdown to 13177
[23:40:55.029] [SEVERE ] updating countdown to 13070
[23:40:55.139] [SEVERE ] updating countdown to 12960
[23:40:55.247] [SEVERE ] updating countdown to 12852
[23:40:55.357] [SEVERE ] updating countdown to 12742
[23:40:55.466] [SEVERE ] updating countdown to 12633
[23:40:55.575] [SEVERE ] updating countdown to 12524
[23:40:55.685] [SEVERE ] updating countdown to 12414
[23:40:55.793] [SEVERE ] updating countdown to 12306
[23:40:55.901] [SEVERE ] updating countdown to 12198
[23:40:56.010] [SEVERE ] updating countdown to 12089
[23:40:56.120] [SEVERE ] updating countdown to 11979
[23:40:56.231] [SEVERE ] updating countdown to 11868
[23:40:56.342] [SEVERE ] updating countdown to 11757
[23:40:56.451] [SEVERE ] updating countdown to 11648
[23:40:56.559] [SEVERE ] updating countdown to 11540
[23:40:56.668] [SEVERE ] updating countdown to 11431
[23:40:56.777] [SEVERE ] updating countdown to 11322
[23:40:56.885] [SEVERE ] updating countdown to 11214
[23:40:56.993] [SEVERE ] updating countdown to 11106
[23:40:57.102] [SEVERE ] updating countdown to 10997
[23:40:57.212] [SEVERE ] updating countdown to 10887
[23:40:57.319] [SEVERE ] updating countdown to 10780
[23:40:57.429] [SEVERE ] updating countdown to 10670
[23:40:57.539] [SEVERE ] updating countdown to 10560
[23:40:57.647] [SEVERE ] updating countdown to 10452
[23:40:57.755] [SEVERE ] updating countdown to 10344
[23:40:57.862] [SEVERE ] updating countdown to 10237
[23:40:57.970] [SEVERE ] updating countdown to 10129
[23:40:58.079] [SEVERE ] updating countdown to 10020
[23:40:58.189] [SEVERE ] updating countdown to 9910
[23:40:58.298] [SEVERE ] updating countdown to 9801
[23:40:58.408] [SEVERE ] updating countdown to 9691
[23:40:58.518] [SEVERE ] updating countdown to 9581
[23:40:58.627] [SEVERE ] updating countdown to 9472
[23:40:58.736] [SEVERE ] updating countdown to 9363
[23:40:58.845] [SEVERE ] updating countdown to 9254
[23:40:58.954] [SEVERE ] updating countdown to 9145
[23:40:59.064] [SEVERE ] updating countdown to 9035
[23:40:59.173] [SEVERE ] updating countdown to 8926
[23:40:59.281] [SEVERE ] updating countdown to 8818
[23:40:59.392] [SEVERE ] updating countdown to 8707
[23:40:59.500] [SEVERE ] updating countdown to 8599
[23:40:59.610] [SEVERE ] updating countdown to 8489
[23:40:59.720] [SEVERE ] updating countdown to 8379
[23:40:59.829] [SEVERE ] updating countdown to 8270
[23:40:59.937] [SEVERE ] updating countdown to 8162
[23:41:00.046] [SEVERE ] updating countdown to 8053
[23:41:00.154] [SEVERE ] updating countdown to 7945
[23:41:00.263] [SEVERE ] updating countdown to 7836
[23:41:00.373] [SEVERE ] updating countdown to 7726
[23:41:00.482] [SEVERE ] updating countdown to 7617
[23:41:00.591] [SEVERE ] updating countdown to 7508
[23:41:00.700] [SEVERE ] updating countdown to 7399
[23:41:00.809] [SEVERE ] updating countdown to 7290
